relative_path,filename,extension,size_bytes,kind,family
firmware/v4/firmware/6.0.0/CartographerV4_6.0.0_CAN_500K_full_8kib_offset.bin,CartographerV4_6.0.0_CAN_500K_full_8kib_offset.bin,.bin,27240,firmware_binary,v4
firmware/v4/firmware/6.0.0/CartographerV4_6.0.0_CAN_500K_lite_8kib_offset.bin,CartographerV4_6.0.0_CAN_500K_lite_8kib_offset.bin,.bin,27244,firmware_binary,v4
firmware/v4/firmware/6.0.0/CartographerV4_6.0.0_USB_full_8kib_offset.bin,CartographerV4_6.0.0_USB_full_8kib_offset.bin,.bin,27788,firmware_binary,v4
firmware/v4/firmware/6.0.0/CartographerV4_6.0.0_USB_lite_8kib_offset.bin,CartographerV4_6.0.0_USB_lite_8kib_offset.bin,.bin,27792,firmware_binary,v4
firmware/v4/firmware/6.1.0/CartographerV4_6.1.0_CAN_1M_full_8kib_offset.bin,CartographerV4_6.1.0_CAN_1M_full_8kib_offset.bin,.bin,33008,firmware_binary,v4
firmware/v4/firmware/6.1.0/CartographerV4_6.1.0_CAN_1M_lite_8kib_offset.bin,CartographerV4_6.1.0_CAN_1M_lite_8kib_offset.bin,.bin,33008,firmware_binary,v4
firmware/v4/firmware/6.1.0/CartographerV4_6.1.0_CAN_250K_full_8kib_offset.bin,CartographerV4_6.1.0_CAN_250K_full_8kib_offset.bin,.bin,33008,firmware_binary,v4
firmware/v4/firmware/6.1.0/CartographerV4_6.1.0_CAN_250K_lite_8kib_offset.bin,CartographerV4_6.1.0_CAN_250K_lite_8kib_offset.bin,.bin,33016,firmware_binary,v4
firmware/v4/firmware/6.1.0/CartographerV4_6.1.0_CAN_500K_full_8kib_offset.bin,CartographerV4_6.1.0_CAN_500K_full_8kib_offset.bin,.bin,33008,firmware_binary,v4
firmware/v4/firmware/6.1.0/CartographerV4_6.1.0_CAN_500K_lite_8kib_offset.bin,CartographerV4_6.1.0_CAN_500K_lite_8kib_offset.bin,.bin,33016,firmware_binary,v4
firmware/v4/firmware/6.1.0/CartographerV4_6.1.0_USB_full_8kib_offset.bin,CartographerV4_6.1.0_USB_full_8kib_offset.bin,.bin,33880,firmware_binary,v4
firmware/v4/firmware/6.1.0/CartographerV4_6.1.0_USB_lite_8kib_offset.bin,CartographerV4_6.1.0_USB_lite_8kib_offset.bin,.bin,33880,firmware_binary,v4
firmware/v4/katapult/Katapult_V4_CAN_1M.bin,Katapult_V4_CAN_1M.bin,.bin,4488,firmware_binary,v4
firmware/v4/katapult/Katapult_V4_CAN_250K.bin,Katapult_V4_CAN_250K.bin,.bin,4488,firmware_binary,v4
firmware/v4/katapult/Katapult_V4_CAN_500K.bin,Katapult_V4_CAN_500K.bin,.bin,4488,firmware_binary,v4
firmware/v4/katapult/Katapult_V4_USB.bin,Katapult_V4_USB.bin,.bin,5224,firmware_binary,v4
firmware/v4/katapult-deployer/katapult_deployer_v4_CAN_1M.bin,katapult_deployer_v4_CAN_1M.bin,.bin,5916,firmware_binary,v4
firmware/v4/katapult-deployer/katapult_deployer_v4_CAN_250K.bin,katapult_deployer_v4_CAN_250K.bin,.bin,5916,firmware_binary,v4
firmware/v4/katapult-deployer/katapult_deployer_v4_CAN_500K.bin,katapult_deployer_v4_CAN_500K.bin,.bin,5916,firmware_binary,v4
firmware/v4/katapult-deployer/katapult_deployer_v4_USB.bin,katapult_deployer_v4_USB.bin,.bin,6716,firmware_binary,v4
